"Player","Kit_No","Position","Height","Weight","NT","APP","SUB","Saves","Conceded","Assist","Foul","Fouled","YC","RC","Goals","Shots","OnTarget","Club"
"Mats Hummels","15","Def","1.91 m","92 kg","Germany","28","6",NA,NA,"0","17","14","4","0","1","13","2","Borussia Dortmund"
"Thomas Meunier","24","Def","1.91 m","88 kg","Belgium","10","3",NA,NA,"0","10","4","2","0","0","4","0","Borussia Dortmund"
"Niklas Süle","25","Def","1.96 m","97 kg","Germany","27","6",NA,NA,"4","7","5","2","0","1","28","4","Borussia Dortmund"
"Julian Ryerson","26","Def","1.83 m","86 kg","Norway","28","1",NA,NA,"0","29","29","4","0","1","25","8","Borussia Dortmund"
"Tom Rothe","36","Def","1.88 m","82 kg","Germany","2","2",NA,NA,"0","2","0","0","0","0","1","0","Borussia Dortmund"
"Soumaila Coulibaly","44","Def","1.91 m","82 kg","France","1","1",NA,NA,"0","1","0","0","0","0","0","0","Borussia Dortmund"
"Antonios Papadopoulos","47","Def","1.85 m","83 kg","Germany","1","1",NA,NA,"0","2","0","0","0","0","1","0","Borussia Dortmund"
"Salih Ozcan","6","Mid","1.83 m","73 kg","Turkey","25","8",NA,NA,"1","25","25","6","0","0","3","1","Borussia Dortmund"
"Giovanni Reyna","7","Mid","1.85 m","78 kg","USA","20","16",NA,NA,"0","7","16","2","0","7","22","10","Borussia Dortmund"
"Mahmoud Dahoud","8","Mid","1.78 m","68 kg","Germany","9","5",NA,NA,"0","3","2","1","0","0","6","0","Borussia Dortmund"
"Marco Reus","11","Mid","1.8 m","71 kg","Germany","23","9",NA,NA,"4","18","18","4","0","6","33","9","Borussia Dortmund"
"Marius Wolf","17","Mid","1.88 m","81 kg","Germany","23","8",NA,NA,"1","11","20","1","0","1","22","5","Borussia Dortmund"
"Julian Brandt","19","Mid","1.85 m","83 kg","Germany","30","3",NA,NA,"9","6","20","2","0","8","33","18","Borussia Dortmund"
"Jude Bellingham","22","Mid","1.85 m","73 kg","England","31","1",NA,NA,"5","41","71","8","0","8","67","23","Borussia Dortmund"
"Emre Can","23","Mid","1.85 m","86 kg","Germany","25","7",NA,NA,"1","25","23","7","0","2","13","3","Borussia Dortmund"
"Felix Passlack","30","Mid","1.7 m","73 kg","Germany","3","3",NA,NA,"0","0","1","0","0","0","0","0","Borussia Dortmund"
"Goktan Gurpuz","42","Mid","1.75 m","58 kg","Germany","--","--",NA,NA,"--","--","--","--","--","--","--","--","Borussia Dortmund"
"Marco Pasalic","46","Mid","1.78 m","73 kg","Croatia","1","1",NA,NA,"0","1","0","0","0","0","1","0","Borussia Dortmund"
"Sébastien Haller","9","Fwd","1.91 m","82 kg","France","17","4",NA,NA,"3","10","12","1","0","7","25","14","Borussia Dortmund"
"Julien Duranville","16","Fwd","1.7 m","58 kg","Belgium","--","--",NA,NA,"--","--","--","--","--","--","--","--","Borussia Dortmund"
"Youssoufa Moukoko","18","Fwd","1.78 m","72 kg","Germany","25","14",NA,NA,"4","6","7","0","0","7","32","18","Borussia Dortmund"
"Anthony Modeste","20","Fwd","1.88 m","83 kg","France","18","11",NA,NA,"1","14","7","4","0","2","21","8","Borussia Dortmund"
"Donyell Malen","21","Fwd","1.75 m","68 kg","Netherlands","24","4",NA,NA,"6","12","36","0","0","9","54","27","Borussia Dortmund"
"Karim Adeyemi","27","Fwd","1.8 m","68 kg","Germany","22","4",NA,NA,"5","18","27","8","0","6","33","12","Borussia Dortmund"
"Jamie Bynoe-Gittens","43","Fwd","1.75 m","68 kg","England","15","11",NA,NA,"1","9","18","1","0","3","24","11","Borussia Dortmund"
"Justin Njinmah","49","Fwd","1.83 m","73 kg","Germany","1","1",NA,NA,"0","0","3","0","0","0","0","0","Borussia Dortmund"
"Lukas Hradecky","1","GK","1.93 m","83 kg","Finland","30","0","79","39","0","0","0","0","1",NA,NA,NA,"Bayer Leverkusen"
"Patrick Pentz","28","GK","1.83 m","81 kg","Austria","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Bayer Leverkusen"
"Niklas Lomb","36","GK","1.85 m","83 kg","Germany","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Bayer Leverkusen"
"Andrey Lunev","40","GK","1.91 m","78 kg","Russia","1","0","0","2","0","0","0","0","0",NA,NA,NA,"Bayer Leverkusen"
"Maximilian Neutgens","41","GK","1.8 m","66 kg","Germany","--","--","--","--","--","--","--","--","--",NA,NA,NA,"Bayer Leverkusen"
"Piero Hincapié","3","Def","1.83 m","66 kg","Ecuador","28","3",NA,NA,"0","34","33","10","2","1","15","4","Bayer Leverkusen"
"Jonathan Tah","4","Def","1.96 m","97 kg","Germany","30","5",NA,NA,"0","19","3","6","0","1","10","2","Bayer Leverkusen"
"Mitchel Bakker","5","Def","1.85 m","83 kg","Netherlands","25","9",NA,NA,"2","16","12","3","1","3","15","8","Bayer Leverkusen"
"Odilon Kossounou","6","Def","1.91 m","78 kg","Ivory Coast","24","7",NA,NA,"1","17","4","3","0","0","3","0","Bayer Leverkusen"
"Edmond Tapsoba","12","Def","1.93 m","83 kg","Burkina Faso","30","1",NA,NA,"0","22","16","4","0","1","13","3","Bayer Leverkusen"
"Daley Sinkgraven","22","Def","1.78 m","67 kg","Netherlands","12","8",NA,NA,"2","6","4","1","0","0","5","1","Bayer Leverkusen"
"Timothy Fosu-Mensah","24","Def","1.85 m","78 kg","Netherlands","11","10",NA,NA,"0","2","1","1","0","0","3","2","Bayer Leverkusen"
"Jeremie Frimpong","30","Def","1.7 m","63 kg","Netherlands","31","2",NA,NA,"6","18","57","4","0","8","35","16","Bayer Leverkusen"
"Robert Andrich","8","Mid","1.88 m","83 kg","Germany","29","1",NA,NA,"2","32","20","8","0","2","32","11","Bayer Leverkusen"
"Kerem Demirbay","10","Mid","1.83 m","73 kg","Germany","23","8",NA,NA,"3","24","20","3","0","3","29","5","Bayer Leverkusen"
"Nadiem Amiri","11","Mid","1.8 m","77 kg","Germany","22","14",NA,NA,"1","11","23","5","0","4","21","9","Bayer Leverkusen"
"Noah Mbamba","18","Mid","1.88 m","73 kg","Belgium","0","0",NA,NA,"0","0","0","0","0","0","0","0","Bayer Leverkusen"
"Exequiel Palacios","25","Mid","1.78 m","67 kg","Argentina","22","6",NA,NA,"2","17","31","2","0","3","16","6","Bayer Leverkusen"
"Florian Wirtz","27","Mid","1.75 m","68 kg","Germany","14","5",NA,NA,"6","11","23","2","0","1","6","3","Bayer Leverkusen"
"Ayman Azhil","32","Mid","1.7 m","63 kg","Morocco","1","1",NA,NA,"0","0","0","0","0","0","0","0","Bayer Leverkusen"
"Joshua Eze","35","Mid","1.83 m","76 kg","Germany","--","--",NA,NA,"--","--","--","--","--","--","--","--","Bayer Leverkusen"
"Sardar Azmoun","9","Fwd","1.85 m","78 kg","Iran","20","14",NA,NA,"1","13","1","1","0","4","22","9","Bayer Leverkusen"
"Patrik Schick","14","Fwd","1.91 m","83 kg","Czech Republic","14","4",NA,NA,"1","5","16","0","0","3","34","14","Bayer Leverkusen"
"Callum Hudson-Odoi","17","Fwd","1.83 m","76 kg","England","14","7",NA,NA,"1","2","20","0","0","0","4","1","Bayer Leverkusen"
"Moussa Diaby","19","Fwd","1.7 m","68 kg","France","30","0",NA,NA,"8","14","19","3","0","9","72","34","Bayer Leverkusen"
"Amine Adli","21","Fwd","1.75 m","58 kg","France","23","10",NA,NA,"3","35","45","2","1","4","32","14","Bayer Leverkusen"
"Adam Hlozek","23","Fwd","1.88 m","73 kg","Czech Republic","26","10",NA,NA,"3","16","19","2","0","5","27","9","Bayer Leverkusen"
"Karim Bellarabi","38","Fwd","1.83 m","81 kg","Germany","8","7",NA,NA,"0","2","0","0","0","0","0","0","Bayer Leverkusen"
"Sergio Rico","16","GK","1.96 m","88 kg","Spain","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Paris Saint-Germain"
"Alexandre Letellier","90","GK","1.93 m","92 kg","France","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Paris Saint-Germain"
"Gianluigi Donnarumma","99","GK","1.96 m","88 kg","Italy","35","0","112","34","0","1","3","3","0",NA,NA,NA,"Paris Saint-Germain"
"Achraf Hakimi","2","Def","1.8 m","73 kg","Morocco","27","5",NA,NA,"3","24","17","6","2","5","18","9","Paris Saint-Germain"
"Presnel Kimpembe","3","Def","1.83 m","78 kg","France","11","2",NA,NA,"0","22","9","3","0","0","4","0","Paris Saint-Germain"
"Sergio Ramos","4","Def","1.83 m","82 kg","Spain","30","2",NA,NA,"1","28","22","3","1","1","15","5","Paris Saint-Germain"
"Marquinhos","5","Def","1.83 m","73 kg","Brazil","31","2",NA,NA,"0","14","11","4","0","2","17","5","Paris Saint-Germain"
"Juan Bernat","14","Def","1.78 m","67 kg","Spain","26","10",NA,NA,"4","7","8","1","0","1","7","5","Paris Saint-Germain"
"Nuno Mendes","25","Def","1.75 m","68 kg","Portugal","23","5",NA,NA,"6","25","34","2","0","1","11","7","Paris Saint-Germain"
"Nordi Mukiele","26","Def","1.88 m","83 kg","France","19","7",NA,NA,"3","15","13","0","0","0","11","2","Paris Saint-Germain"
"Timothee Pembélé","29","Def","1.83 m","78 kg","France","5","1",NA,NA,"1","0","1","0","0","0","3","1","Paris Saint-Germain"
"El Chadaille Bitshiabu","31","Def","1.96 m","--","France","11","7",NA,NA,"0","3","0","2","0","0","0","0","Paris Saint-Germain"
"Serif Nhaga","34","Def","--","--","Portugal","0","0",NA,NA,"0","0","0","0","0","0","0","0","Paris Saint-Germain"
"Nehemiah Fernandez","38","Def","--","--","France","0","0",NA,NA,"0","0","0","0","0","0","0","0","Paris Saint-Germain"
"Hugo Lamy","39","Def","--","--","France","0","0",NA,NA,"0","0","0","0","0","0","0","0","Paris Saint-Germain"
"Marco Verratti","6","Mid","1.65 m","58 kg","Italy","26","2",NA,NA,"0","32","45","9","1","0","7","4","Paris Saint-Germain"
"Fabián Ruiz","8","Mid","1.88 m","68 kg","Spain","26","6",NA,NA,"1","17","12","0","0","3","25","8","Paris Saint-Germain"
"Danilo Pereira","15","Mid","1.88 m","83 kg","Portugal","30","6",NA,NA,"0","14","12","2","0","2","22","5","Paris Saint-Germain"
"Vitinha","17","Mid","1.73 m","63 kg","Portugal","33","6",NA,NA,"3","30","18","2","0","2","29","9","Paris Saint-Germain"
"Renato Sanches","18","Mid","1.75 m","68 kg","Portugal","20","15",NA,NA,"0","18","8","1","0","2","10","5","Paris Saint-Germain"
"Carlos Soler","28","Mid","1.8 m","76 kg","Spain","24","10",NA,NA,"2","17","14","0","0","3","10","5","Paris Saint-Germain"
"Warren Zaire-Emery","33","Mid","1.78 m","--","France","23","18",NA,NA,"0","5","5","1","0","2","9","4","Paris Saint-Germain"
"Ismaël Gharbi","35","Mid","--","--","Spain","5","5",NA,NA,"0","3","3","1","0","0","3","1","Paris Saint-Germain"
"Kylian Mbappé","7","Fwd","1.78 m","73 kg","France","31","2",NA,NA,"5","13","36","5","0","26","136","70","Paris Saint-Germain"
"Neymar","10","Fwd","1.75 m","68 kg","Brazil","20","2",NA,NA,"11","22","65","5","1","13","38","17","Paris Saint-Germain"
"Lionel Messi","30","Fwd","1.7 m","72 kg","Argentina","29","0",NA,NA,"15","6","34","0","0","15","116","45","Paris Saint-Germain"
"Ilyes Housni","34","Fwd","--","--","France","1","1",NA,NA,"0","0","1","0","0","0","0","0","Paris Saint-Germain"
"Hugo Ekitike","44","Fwd","1.88 m","--","France","23","13",NA,NA,"5","12","12","0","0","3","29","12","Paris Saint-Germain"
"Simon Ngapandouentnbu","1","GK","1.85 m","73 kg","Cameroon","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Marseille"
"Pau López","16","GK","1.88 m","77 kg","Spain","29","0","80","27","2","1","6","3","0",NA,NA,NA,"Marseille"
"Rubén Blanco","36","GK","1.88 m","68 kg","Spain","5","0","6","4","0","0","0","0","0",NA,NA,NA,"Marseille"
"Eric Bailly","3","Def","1.88 m","77 kg","Ivory Coast","14","10",NA,NA,"0","8","3","1","0","0","3","0","Marseille"
"Samuel Gigot","4","Def","1.88 m","83 kg","France","25","2",NA,NA,"2","41","13","4","2","2","12","3","Marseille"
"Leonardo Balerdi","5","Def","1.88 m","83 kg","Argentina","31","5",NA,NA,"1","41","17","6","1","0","10","1","Marseille"
"Jonathan Clauss","7","Def","1.78 m","68 kg","France","30","2",NA,NA,"8","22","11","1","0","1","46","10","Marseille"
"Sead Kolasinac","23","Def","1.83 m","83 kg","Bosnia and Herzegovina","29","6",NA,NA,"1","35","13","3","0","4","22","8","Marseille"
"Issa Kaboré","29","Def","1.8 m","--","Burkina Faso","19","11",NA,NA,"0","19","14","1","0","1","7","3","Marseille"
"Nuno Tavares","30","Def","1.83 m","73 kg","Portugal","28","5",NA,NA,"0","32","34","5","1","6","59","17","Marseille"
"Chancel Mbemba","99","Def","1.83 m","81 kg","Congo DR","32","3",NA,NA,"0","17","15","2","0","4","24","8","Marseille"
"Raimane Daou","","Mid","--","--","--","--","--",NA,NA,"--","--","--","--","--","--","--","--","Marseille"
"Emran Soglo","","Mid","--","--","England","--","--",NA,NA,"--","--","--","--","--","--","--","--","Marseille"
"Matteo Guendouzi","6","Mid","1.85 m","68 kg","France","30","8",NA,NA,"4","23","35","3","0","2","25","7","Marseille"
"Azzedine Ounahi","8","Mid","1.83 m","62 kg","Morocco","22","8",NA,NA,"0","10","27","1","0","1","25","6","Marseille"
"Dimitri Payet","10","Mid","1.75 m","77 kg","France","23","15",NA,NA,"3","4","16","0","0","3","22","4","Marseille"
"Cengiz Ünder","17","Mid","1.73 m","66 kg","Turkey","33","9",NA,NA,"4","20","27","3","0","5","60","21","Marseille"
"Ruslan Malinovskyi","18","Mid","1.8 m","78 kg","Ukraine","16","6",NA,NA,"0","21","15","4","0","1","26","3","Marseille"
"Valentin Rongier","21","Mid","1.73 m","67 kg","France","33","2",NA,NA,"2","47","28","7","0","1","18","3","Marseille"
"Jordan Veretout","27","Mid","1.78 m","67 kg","France","34","7",NA,NA,"2","31","18","3","0","3","29","10","Marseille"
"Bartug Elmaz","47","Mid","1.78 m","--","Turkey","0","0",NA,NA,"0","0","0","0","0","0","0","0","Marseille"
"Amine Harit","77","Mid","1.8 m","67 kg","Morocco","10","4",NA,NA,"0","2","13","2","0","0","6","3","Marseille"
"Vitor Oliveira","9","Fwd","1.78 m","73 kg","Portugal","10","6",NA,NA,"0","4","3","0","0","2","18","7","Marseille"
"François Mughe","33","Fwd","--","--","Cameroon","0","0",NA,NA,"0","0","0","0","0","0","0","0","Marseille"
"Esey Gebreyesus","37","Fwd","--","--","Switzerland","--","--",NA,NA,"--","--","--","--","--","--","--","--","Marseille"
"Alexis Sánchez","70","Fwd","1.7 m","62 kg","Chile","31","3",NA,NA,"2","34","41","3","0","13","61","25","Marseille"
"Anthony Lopes","1","GK","1.83 m","81 kg","Portugal","28","0","65","33","0","1","5","1","1",NA,NA,NA,"Lyon"
"Rémy Riou","35","GK","1.91 m","81 kg","France","7","1","9","7","0","0","0","0","0",NA,NA,NA,"Lyon"
"Kayne Bonnevie","40","GK","1.91 m","76 kg","France","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Lyon"
"Sinaly Diomande","2","Def","1.83 m","73 kg","Ivory Coast","22","2",NA,NA,"0","22","20","2","1","0","10","2","Lyon"
"Nicolás Tagliafico","3","Def","1.73 m","66 kg","Argentina","30","0",NA,NA,"3","35","54","4","0","1","16","4","Lyon"
"Castello Lukeba","4","Def","1.83 m","--","France","30","1",NA,NA,"0","33","18","6","1","2","12","6","Lyon"
"Dejan Lovren","5","Def","1.88 m","83 kg","Croatia","16","0",NA,NA,"0","8","14","2","0","1","12","3","Lyon"
"Henrique ","12","Def","1.73 m","71 kg","Brazil","7","4",NA,NA,"1","6","11","0","0","0","1","0","Lyon"
"Achraf Laaziri","15","Def","--","--","Morocco","0","0",NA,NA,"0","0","0","0","0","0","0","0","Lyon"
"Jérôme Boateng","17","Def","1.93 m","88 kg","Germany","6","2",NA,NA,"0","1","0","0","0","0","0","0","Lyon"
"Sael Kumbedi Nseke","20","Def","1.75 m","--","France","16","5",NA,NA,"2","31","17","8","0","0","5","2","Lyon"
"Malo Gusto","27","Def","1.78 m","--","France","19","1",NA,NA,"1","15","24","1","0","0","7","4","Lyon"
"Mamadou Sarr","29","Def","--","--","France","0","0",NA,NA,"0","0","0","0","0","0","0","0","Lyon"
"Maxence Caqueret","6","Mid","1.75 m","63 kg","France","32","4",NA,NA,"8","37","25","2","0","2","21","8","Lyon"
"Houssem Aouar","8","Mid","1.75 m","68 kg","France","14","8",NA,NA,"1","5","5","2","0","1","11","4","Lyon"
"Thiago Mendes","23","Mid","1.75 m","78 kg","Brazil","28","6",NA,NA,"1","22","23","3","0","1","13","4","Lyon"
"Johann Lepenant","24","Mid","1.75 m","--","France","29","8",NA,NA,"2","34","24","3","0","1","17","1","Lyon"
"Mohamed El Arouch","38","Mid","1.65 m","--","France","1","1",NA,NA,"0","0","0","0","0","0","0","0","Lyon"
"Corentin Tolisso","88","Mid","1.8 m","81 kg","France","26","5",NA,NA,"2","26","34","3","0","1","19","6","Lyon"
"Amin Sarr","7","Fwd","1.88 m","83 kg","Sweden","10","5",NA,NA,"0","13","2","0","0","1","3","3","Lyon"
"Moussa Dembélé","9","Fwd","1.83 m","73 kg","France","22","14",NA,NA,"0","14","3","1","0","3","27","13","Lyon"
"Alexandre Lacazette","10","Fwd","1.75 m","73 kg","France","31","1",NA,NA,"4","57","46","3","0","24","90","45","Lyon"
"Rayan Cherki","18","Fwd","1.75 m","71 kg","France","30","13",NA,NA,"5","13","29","3","0","3","44","14","Lyon"
"Bradley Barcola","26","Fwd","1.85 m","--","France","23","11",NA,NA,"6","18","7","3","0","5","21","10","Lyon"
"Djibrail Dib","33","Fwd","1.73 m","--","France","0","0",NA,NA,"0","0","0","0","0","0","0","0","Lyon"
"Sekou Lega","36","Fwd","--","--","France","0","0",NA,NA,"0","0","0","0","0","0","0","0","Lyon"
"Jeffinho ","47","Fwd","1.73 m","--","Brazil","5","4",NA,NA,"0","5","3","1","0","0","5","2","Lyon"
"Samuel Soares","24","GK","1.88 m","83 kg","Portugal","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Benfica"
"Leo Brian Kokubo","45","GK","1.91 m","81 kg","Japan","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Benfica"
"André Gomes","75","GK","--","--","Portugal","--","--","--","--","--","--","--","--","--",NA,NA,NA,"Benfica"
"Odisseas Vlachodimos","99","GK","1.88 m","78 kg","Greece","32","0","36","17","0","0","10","2","0",NA,NA,NA,"Benfica"
"Gilberto","2","Def","1.8 m","76 kg","Brazil","19","11",NA,NA,"1","10","7","2","0","2","6","3","Benfica"
"Alejandro Grimaldo","3","Def","1.7 m","63 kg","Spain","31","0",NA,NA,"8","19","28","4","0","4","40","11","Benfica"
"Lucas Verissimo","4","Def","1.88 m","83 kg","Brazil","2","2",NA,NA,"0","0","0","0","0","0","0","0","Benfica"
"Alexander Bah","6","Def","1.83 m","76 kg","Denmark","26","6",NA,NA,"3","33","38","1","0","1","11","3","Benfica"
"Mihailo Ristic","23","Def","1.8 m","73 kg","Serbia","6","5",NA,NA,"1","2","1","0","0","1","3","1","Benfica"
"Nicolás Otamendi","30","Def","1.83 m","81 kg","Argentina","29","0",NA,NA,"0","29","23","10","1","1","31","9","Benfica"
"Rafael Rodrigues","65","Def","1.75 m","59 kg","Portugal","0","0",NA,NA,"0","0","0","0","0","0","0","0","Benfica"
"António Silva","66","Def","1.88 m","78 kg","Portugal","29","0",NA,NA,"0","37","10","4","0","3","18","7","Benfica"
"João Tomé Esteves Baptista","71","Def","--","--","Portugal","--","--",NA,NA,"--","--","--","--","--","--","--","--","Benfica"
"Morato","91","Def","1.93 m","87 kg","Brazil","8","2",NA,NA,"0","9","1","2","0","1","3","2","Benfica"
"Fredrik Aursnes","8","Mid","1.78 m","71 kg","Norway","26","4",NA,NA,"4","19","10","5","0","1","17","4","Benfica"
"João Mário","20","Mid","1.78 m","73 kg","Portugal","31","0",NA,NA,"6","42","49","5","1","17","72","28","Benfica"
"Chiquinho","22","Mid","1.75 m","66 kg","Portugal","23","10",NA,NA,"0","23","25","1","0","1","12","3","Benfica"
"Rafa","27","Mid","1.73 m","62 kg","Portugal","26","2",NA,NA,"5","16","64","6","0","7","64","22","Benfica"
"Florentino Luís","61","Mid","1.83 m","73 kg","Portugal","31","7",NA,NA,"3","29","6","5","0","0","9","3","Benfica"
"Cher Ndour","73","Mid","1.91 m","--","Italy","1","1",NA,NA,"0","0","0","0","0","0","0","0","Benfica"
"João Neves","87","Mid","--","--","Portugal","15","11",NA,NA,"0","11","18","1","0","0","9","3","Benfica"
"Julian Draxler","93","Mid","1.85 m","72 kg","Germany","10","6",NA,NA,"0","1","1","0","0","1","11","3","Benfica"
"Hugo Félix","94","Mid","--","--","Portugal","--","--",NA,NA,"--","--","--","--","--","--","--","--","Benfica"
"David Neres","7","Fwd","1.75 m","66 kg","Brazil","29","8",NA,NA,"8","22","24","2","0","6","48","19","Benfica"
"Goncalo Guedes","15","Fwd","1.78 m","68 kg","Portugal","11","7",NA,NA,"1","6","6","1","0","1","14","5","Benfica"
"Casper Tengstedt","19","Fwd","--","--","Denmark","4","4",NA,NA,"0","0","0","0","0","0","1","1","Benfica"
"Andreas Schjelderup","21","Fwd","1.75 m","73 kg","Norway","1","1",NA,NA,"0","0","0","0","0","0","0","0","Benfica"
"Petar Musa","33","Fwd","1.91 m","83 kg","Croatia","28","26",NA,NA,"2","16","9","1","0","7","36","14","Benfica"
"Goncalo Ramos","88","Fwd","1.85 m","78 kg","Portugal","28","0",NA,NA,"2","46","40","3","1","18","92","35","Benfica"
"Diego Moreira","96","Fwd","1.78 m","73 kg","Portugal","--","--",NA,NA,"--","--","--","--","--","--","--","--","Benfica"
"Cláudio Ramos","14","GK","1.83 m","83 kg","Portugal","1","0","0","0","0","0","0","1","0",NA,NA,NA,"FC Porto"
"Francisco Meixedo","71","GK","1.83 m","58 kg","Portugal","--","--","--","--","--","--","--","--","--",NA,NA,NA,"FC Porto"
"Samuel Portugal","94","GK","1.88 m","78 kg","Brazil","4","0","0","2","0","0","0","1","0",NA,NA,NA,"FC Porto"
"Diogo Costa","99","GK","1.85 m","81 kg","Portugal","30","0","41","17","0","0","4","1","0",NA,NA,NA,"FC Porto"
"Fábio Cardoso","2","Def","1.88 m","77 kg","Portugal","16","3",NA,NA,"0","9","5","4","0","2","9","3","FC Porto"
"Pepe","3","Def","1.88 m","81 kg","Portugal","21","2",NA,NA,"0","10","19","4","0","0","8","3","FC Porto"
"David Carmo","4","Def","1.93 m","76 kg","Portugal","8","1",NA,NA,"0","11","2","1","0","0","4","1","FC Porto"
"Iván Marcano","5","Def","1.88 m","77 kg","Spain","23","0",NA,NA,"0","25","6","9","1","4","16","4","FC Porto"
"Zaidu Sanusi","12","Def","1.83 m","71 kg","Nigeria","18","8",NA,NA,"0","13","4","3","0","0","6","1","FC Porto"
"Rodrigo Conceição","17","Def","1.63 m","53 kg","Portugal","14","8",NA,NA,"0","8","12","0","0","0","1","0","FC Porto"
"Manafá","18","Def","1.78 m","68 kg","Portugal","7","2",NA,NA,"0","2","2","1","0","0","0","0","FC Porto"
"Wendell","22","Def","1.78 m","72 kg","Brazil","23","2",NA,NA,"3","28","27","4","0","1","11","2","FC Porto"
"João Mário","23","Def","1.78 m","62 kg","Portugal","18","3",NA,NA,"4","20","18","3","1","1","11","2","FC Porto"
"João Marcelo","43","Def","1.88 m","--","Brazil","0","0",NA,NA,"0","0","0","0","0","0","0","0","FC Porto"
"Mateus Uribe","8","Mid","1.83 m","71 kg","Colombia","28","1",NA,NA,"0","45","21","6","1","4","28","7","FC Porto"
"Galeno","13","Mid","1.78 m","71 kg","Brazil","28","11",NA,NA,"2","28","43","4","0","8","59","25","FC Porto"
"Marko Grujic","16","Mid","1.91 m","83 kg","Serbia","22","9",NA,NA,"0","35","9","5","0","1","15","2","FC Porto"
"Otávio","25","Mid","1.73 m","63 kg","Portugal","25","2",NA,NA,"6","39","77","5","0","4","30","7","FC Porto"
"Bruno Costa","28","Mid","1.7 m","63 kg","Portugal","6","2",NA,NA,"1","4","1","0","0","0","5","2","FC Porto"
"Stephen Eustáquio","46","Mid","1.75 m","68 kg","Canada","26","10",NA,NA,"5","23","10","3","1","2","19","5","FC Porto"
"Vasco Sousa","67","Mid","1.63 m","52 kg","Portugal","1","1",NA,NA,"0","0","0","0","0","0","0","0","FC Porto"
"Bernardo Folha","87","Mid","1.78 m","73 kg","Portugal","5","4",NA,NA,"0","2","2","1","1","0","2","0","FC Porto"
"Gabriel Veron","7","Fwd","1.75 m","73 kg","Brazil","14","12",NA,NA,"1","14","7","1","0","0","12","6","FC Porto"
"Mehdi Taremi","9","Fwd","1.88 m","78 kg","Iran","30","2",NA,NA,"6","26","37","6","0","16","78","35","FC Porto"
"Pepê","11","Fwd","1.65 m","68 kg","Brazil","31","6",NA,NA,"8","21","62","1","0","4","33","8","FC Porto"
"Danny Loader","19","Fwd","1.83 m","76 kg","England","19","14",NA,NA,"2","17","9","1","0","2","14","5","FC Porto"
"André Franco","20","Fwd","--","--","Portugal","15","10",NA,NA,"1","9","11","2","0","2","10","4","FC Porto"
"Toni Martínez","29","Fwd","1.8 m","68 kg","Spain","28","19",NA,NA,"3","23","14","0","0","5","46","19","FC Porto"
"Evanilson","30","Fwd","1.8 m","78 kg","Brazil","20","4",NA,NA,"5","22","24","1","0","6","28","9","FC Porto"
"Fernando","38","Fwd","1.83 m","78 kg","Brazil","0","0",NA,NA,"0","0","0","0","0","0","0","0","FC Porto"
"Wendel","50","Fwd","1.8 m","78 kg","Brazil","--","--",NA,NA,"--","--","--","--","--","--","--","--","FC Porto"
"Gonçalo Borges","70","Fwd","1.83 m","77 kg","Portugal","10","10",NA,NA,"0","3","2","0","0","0","6","2","FC Porto"
"Abraham Marcus","98","Fwd","1.78 m","73 kg","Nigeria","1","1",NA,NA,"0","0","0","0","0","0","0","0","FC Porto"
"Maarten Stekelenburg","1","GK","1.98 m","92 kg","Netherlands","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Ajax Amsterdam"
"Gerónimo Rulli","12","GK","1.88 m","83 kg","Argentina","16","0","39","14","0","1","1","1","0",NA,NA,NA,"Ajax Amsterdam"
"Remko Pasveer","22","GK","1.88 m","87 kg","Netherlands","15","0","17","18","0","0","0","0","0",NA,NA,NA,"Ajax Amsterdam"
"Charlie Setford","51","GK","1.93 m","76 kg","England","--","--","--","--","--","--","--","--","--",NA,NA,NA,"Ajax Amsterdam"
"Sten Kremers","52","GK","--","--","Netherlands","--","--","--","--","--","--","--","--","--",NA,NA,NA,"Ajax Amsterdam"
"Tom De Graaff","53","GK","1.88 m","--","Netherlands","--","--","--","--","--","--","--","--","--",NA,NA,NA,"Ajax Amsterdam"
"Jurriën Timber","2","Def","1.78 m","78 kg","Netherlands","31","0",NA,NA,"2","33","20","3","0","1","24","7","Ajax Amsterdam"
"Calvin Bassey","3","Def","1.85 m","76 kg","Nigeria","24","4",NA,NA,"3","13","25","0","0","1","7","2","Ajax Amsterdam"
"Owen Wijndal","5","Def","1.75 m","63 kg","Netherlands","17","5",NA,NA,"1","10","20","2","0","0","6","3","Ajax Amsterdam"
"Ahmetcan Kaplan","13","Def","1.88 m","68 kg","Turkey","0","0",NA,NA,"0","0","0","0","0","0","0","0","Ajax Amsterdam"
"Devyne Rensch","15","Def","1.78 m","73 kg","Netherlands","23","0",NA,NA,"1","16","20","2","1","3","13","3","Ajax Amsterdam"
"Jorge Sánchez","19","Def","1.7 m","68 kg","Mexico","17","6",NA,NA,"3","18","8","3","0","2","14","5","Ajax Amsterdam"
